ID,Title,Epic,Description,Acceptance Criteria,Dependencies,Priority,Labels
US-027,Reconciliación cross-source,Normalization & Reconciliation,"Unificar notification, email y statement que representan la misma operación.",Múltiples fuentes pueden asociarse a una transacción; una operación no se duplica; evidencia de fuentes conservada.,US-026,P0,"reconciliation,ingestion"
US-028,State Machine financiera,Normalization & Reconciliation,Definir estados formales para el ciclo de vida de una transacción.,"Soporta CANDIDATE, MATCHED, CONFIRMED, PENDING, POSTED, REFUND, TRANSFER, DUPLICATE y REJECTED; transiciones válidas definidas.",US-027,P0,"architecture,reconciliation"
US-029,Confidence Score,Confidence & Classification,Asignar una puntuación de confianza a cada candidato.,"Score reproducible; reglas iniciales para múltiples fuentes, statement, notification, email y OCR; score almacenado.",US-028,P1,"classification,reconciliation"
US-030,Thresholds de confianza,Confidence & Classification,"Determinar automáticamente cuándo confirmar, revisar o preguntar al usuario.",≥90 auto confirm; 70-89 register + review; <70 require user; thresholds configurables.,US-029,P1,"classification,automation"
US-031,Categorización determinística,Confidence & Classification,Categorizar transacciones inicialmente mediante reglas determinísticas.,Merchant mapping → rules → user corrections → fallback; sin ML/LLM como dependencia inicial.,US-024,P1,classification
US-032,Correcciones del usuario,Confidence & Classification,Convertir correcciones de categoría del usuario en conocimiento reutilizable.,Corrección guardada; puede crear regla/preferencia reutilizable; no altera el raw event original.,US-031,P1,"classification,automation"
US-033,Gmail Adapter,Email Ingestion,Ingerir correos de Gmail como fuente financiera.,Conexión/autorización; detección de correos; raw event creado; adapter desacoplado mediante FinancialSourceAdapter.,US-019,P1,"ingestion,backend"
US-034,Financial Email Parser,Email Ingestion,Extraer información financiera de correos.,"Detecta monto, merchant, fecha, tipo y datos relevantes; genera candidate; conserva raw payload.",US-033,P1,"ingestion,parsing"
US-035,Outlook Adapter,Email Ingestion,Ingerir correos de Outlook como fuente financiera.,Conexión/autorización; detección de correos; raw event; adapter compatible con arquitectura.,US-019,P2,"ingestion,backend"
US-036,Integrar email con reconciliation,Email Ingestion,Hacer que eventos de email participen en la reconciliación multi-fuente.,Email candidates entran al mismo pipeline; se relacionan con notification/statement; no crean duplicados.,"US-027, US-034",P1,"ingestion,reconciliation"
US-037,Upload de PDF bancario,Statements,Permitir al usuario cargar estados de cuenta PDF.,Upload seguro; archivo asociado al usuario; raw source identificada; validación de tipo/tamaño.,US-003,P1,"feature,ingestion"
US-038,Extracción de texto PDF,Statements,Extraer texto/tablas de estados de cuenta PDF.,Texto extraído; tablas identificables cuando sea posible; errores manejados; documento original conservado.,US-037,P1,"parsing,ingestion"
US-039,Parser PDF bancario,Statements,Convertir un estado de cuenta bancario en candidatos de transacción.,Parser específico por banco; extrae fecha/monto/descripcion/tipo; genera candidates; conserva fuente.,US-038,P1,"parsing,ingestion"
US-040,CSV ingestion,Statements,Importar movimientos financieros desde CSV.,Archivo validado; columnas detectadas; filas convertidas a candidates; deduplicación/reconciliación aplicada.,"US-018, US-023",P2,"ingestion,parsing"
US-041,XLSX ingestion,Statements,Importar movimientos financieros desde XLSX.,Archivo validado; hojas/columnas detectadas; filas convertidas a candidates; deduplicación/reconciliación aplicada.,"US-018, US-023",P2,"ingestion,parsing"
US-042,Manual column mapping,Statements,Permitir al usuario mapear columnas cuando la detección automática falla.,"Mapeo de Date, Amount, Description, Merchant y Type; preview; guardar/aplicar mapping.","US-040, US-041",P2,"ingestion,parsing,mobile"
US-043,Detectar transacciones recurrentes,Financial Intelligence,Detectar operaciones que se repiten con periodicidad.,"Detecta salario, renta, suscripciones, préstamos y otros patrones; periodicidad y confianza almacenadas.",US-028,P2,"feature,automation"
US-044,Modelo de obligaciones futuras,Financial Intelligence,Representar ingresos y gastos futuros comprometidos o esperados.,Modelo para obligaciones; periodicidad; monto; fecha próxima; relación con cuenta/categoría cuando aplique.,US-043,P2,"database,automation"
US-045,Liquidez proyectada,Financial Intelligence,Calcular liquidez futura considerando ingresos y obligaciones esperadas.,Liquid Assets + Expected Income - Credit Obligations - Committed Expenses; horizonte configurable; cálculo determinístico.,"US-016, US-044",P1,"dashboard,automation"
US-046,Modelo de presupuestos,Budgets,Crear presupuestos mensuales por categoría.,Presupuesto mensual; categoría; monto; porcentaje; suma de porcentajes ≤100%; usuario aislado por RLS.,US-007,P1,"feature,database"
US-047,Consumo de presupuesto,Budgets,Calcular cuánto del presupuesto se ha utilizado.,Gasto por categoría; porcentaje consumido; periodo mensual; exclusión de transfers y movimientos no aplicables.,"US-046, US-008",P1,"budget,dashboard"
US-048,Dashboard de presupuestos,Budgets,Mostrar visualmente el consumo de presupuestos.,"Presupuesto, consumido, restante y porcentaje; categorías; estados de alerta.",US-047,P1,"budget,dashboard,mobile"
US-049,Modelo de préstamos,Loans & Shared Expenses,Representar préstamos y saldos pendientes.,"User, Contact, Loan, Amount, Payments y Outstanding Balance; integridad de saldos.",US-008,P2,"feature,database"
US-050,Gastos compartidos,Loans & Shared Expenses,Registrar gastos donde otra persona debe dinero al usuario.,Gasto compartido; receivable creado; contacto; monto adeudado; estado.,US-049,P2,"feature,mobile"
US-051,Reconciliación de pagos de préstamos,Loans & Shared Expenses,Relacionar pagos recibidos con préstamos o saldos pendientes.,Pago identificado; deuda disminuye; liquidez aumenta; transacción vinculada al préstamo.,"US-049, US-050",P2,"reconciliation,feature"
US-052,User Automation Rules,Automation,Permitir reglas personalizadas para automatizar decisiones.,Usuario crea regla; condiciones y acción; regla aplicada al pipeline; prioridad/orden definido.,US-032,P2,"automation,feature"
US-053,Confirmation Rules,Automation,Permitir reglas que obliguen a confirmar operaciones específicas.,Reglas por monto/merchant/categoría/etc.; candidate queda en revisión cuando corresponde; reglas auditables.,US-030,P2,automation
US-054,Budget Automation,Automation,Automatizar acciones relacionadas con presupuestos.,Reglas pueden reaccionar a consumo; acciones configurables; no modifican datos sin trazabilidad.,US-047,P2,"automation,budget"
US-055,Budget Alerts,Alerts,Alertar cuando un presupuesto alcance umbrales definidos.,"Alertas en 80%, 100% y >100%; no duplicar alertas innecesariamente; usuario puede ver estado.",US-047,P2,"automation,dashboard"
US-056,Credit Due Date Alert,Alerts,Alertar sobre fechas próximas de pago de crédito.,Fecha de vencimiento; anticipación configurable; alerta vinculada a obligación/cuenta.,"US-012, US-044",P2,"automation,dashboard"
US-057,Negative Projected Cash Flow,Alerts,Alertar cuando la liquidez proyectada sea negativa.,Cálculo usa US-045; alerta cuando el horizonte configurado proyecta valor negativo; explicación de factores.,US-045,P2,"automation,dashboard"
US-058,Low Confidence Review,Alerts,Mostrar operaciones que requieren intervención por baja confianza.,Lista de candidates bajo umbral; datos y fuentes disponibles; usuario puede confirmar/rechazar/corregir.,US-030,P1,"automation,reconciliation,mobile"
US-059,OCR financiero,Advanced Intelligence,Extraer datos financieros desde imágenes o screenshots.,OCR produce texto/candidates; documento original conservado; confidence calculada; ambiguos requieren revisión.,US-039,P3,"ai,parsing,ingestion"
US-060,LLM-assisted parsing,Advanced Intelligence,Usar un LLM únicamente cuando el parsing determinístico no pueda resolver un evento.,LLM solo como fallback; salida validada; raw event preservado; incertidumbre genera candidate/review; nunca inventar transacciones.,"US-038, US-039",P3,"ai,parsing"
US-061,Evaluación de ML categorization,Advanced Intelligence,Evaluar si ML mejora la categorización frente a reglas determinísticas.,Dataset de evaluación; métricas; comparación reproducible; decisión basada en evidencia; ML no reemplaza reglas sin validación.,"US-031, US-032",P3,"ai,classification"
US-062,Google Wallet,Future Providers,Investigar e implementar adapter futuro para Google Wallet si existe acceso técnico apropiado.,Adapter aislado; permisos explícitos; raw events; no dependencia fundamental del producto.,US-019,P3,"future,ingestion"
US-063,Apple Wallet,Future Providers,Investigar e implementar adapter futuro para Apple Wallet si existe acceso técnico apropiado.,Adapter aislado; respeta restricciones de plataforma; raw events; no dependencia fundamental del producto.,US-019,P3,"future,ingestion"
US-064,Bank API Framework,Future Providers,Crear framework para integrar APIs bancarias futuras.,Interface/adapters; OAuth cuando aplique; raw events; proveedor desacoplado; errores y expiración manejados.,US-019,P3,"future,ingestion,architecture"
US-065,Open Banking,Future Providers,Integrar Open Banking mediante el framework de APIs bancarias.,Proveedor compatible; cuentas/transacciones ingresan por raw events; reconciliación y deduplicación reutilizadas; permisos explícitos.,US-064,P3,"future,ingestion,architecture"
